id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
202303070000_202303142359_91867999-274435517,,26.27423,-80.53654,-04:00,VIIRSNOAA375,WF,20230317,,203,203 1.0,,,,,,,,,,,,,,,34.04984491315136,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91867999-274435517,,26.27481,-80.5404,-04:00,VIIRSNOAA375,WF,20230317,,203,203 1.0,,,,,,,,,,,,,,,173.34466501240695,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91867999-274435517,,26.27636,-80.52823,-04:00,VIIRSNOAA375,WF,20230317,,203,203 1.0,,,,,,,,,,,,,,,173.34466501240695,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91867999-274435517,,26.27695,-80.53207,-04:00,VIIRSNOAA375,WF,20230317,,203,203 1.0,,,,,,,,,,,,,,,173.34466501240695,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91867999-274435517,,26.27133,-80.52793,-04:00,VIIRSNOAA375,WF,20230317,,203,203 1.0,,,,,,,,,,,,,,,173.34466501240695,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91867999-274435517,,26.27211,-80.52343,-04:00,VIIRSNOAA375,WF,20230317,,203,203 1.0,,,,,,,,,,,,,,,173.34466501240695,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91867999-274435517,,26.27291,-80.51893,-04:00,VIIRSNOAA375,WF,20230317,,203,203 1.0,,,,,,,,,,,,,,,173.34466501240695,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230313,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,114.16382150615496,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230313,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,149.92367849384502,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230314,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,114.16382150615496,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230314,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,149.92367849384502,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230315,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,114.16382150615496,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230315,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,149.92367849384502,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230316,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,114.16382150615496,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230316,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,149.92367849384502,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230317,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,114.16382150615496,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91863365-274428073,,26.29625,-80.51604,-05:00,HMS_GOES16,WF,20230317,,203,203 0.75; 440 0.25,,,,,,,,,,,,,,,149.92367849384502,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91850347-274426971,,26.29652,-80.53671,-05:00,HMS_GOES16,WF,20230313,,203,203 1.0,,,,,,,,,,,,,,,206.51234480812641,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91850347-274426971,,26.29651,-80.53671,-05:00,HMS_GOES16,WF,20230313,,203,203 1.0,,,,,,,,,,,,,,,151.55015519187359,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91850347-274426971,,26.29652,-80.53671,-05:00,HMS_GOES16,WF,20230314,,203,203 1.0,,,,,,,,,,,,,,,206.51234480812641,,,,,,,,,,,,,,,,,,,,,,,,,,
